学校,省市,总分
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
山东协和学院,山东,102.8
珠海科技学院,广东,98.8
浙江树人学院,浙江,98.4
武汉东湖学院,湖北,91.7
黄河科技学院,河南,89.9
齐鲁理工学院,山东,87.1
西京学院,陕西,85.5
大连东软信息学院,辽宁,85.2
无锡太湖学院,江苏,84.4
武昌理工学院,湖北,83.9
广州南方学院,广东,83.2
烟台南山学院,山东,82.6
潍坊科技学院,山东,82.0
三亚学院,海南,81.7
三江学院,江苏,81.5
长沙医学院,湖南,80.6
北京城市学院,北京,77.5
齐鲁医药学院,山东,77.1
重庆人文科技学院,重庆,76.6
郑州科技学院,河南,76.2
茅台学院,贵州,75.9
上海建桥学院,上海,75.1
广州新华学院,广东,74.3
信阳学院,河南,74.2
文华学院,湖北,73.3
成都锦城学院,四川,71.0
广东白云学院,广东,70.5
广州城市理工学院,广东,70.5
南宁学院,广西,70.1
皖江工学院,安徽,69.2
南昌理工学院,江西,68.5
武昌首义学院,湖北,68.0
沈阳工学院,辽宁,67.9
成都东软学院,四川,67.6
江西科技学院,江西,67.4
青岛滨海学院,山东,67.4
中原科技学院,河南,67.0
青岛黄海学院,山东,66.9
安徽新华学院,安徽,66.8
商丘学院,河南,66.2
广州软件学院,广东,65.7
成都文理学院,四川,64.7
黑龙江东方学院,黑龙江,64.7
山东英才学院,山东,64.3
宁夏理工学院,宁夏,64.2
东莞城市学院,广东,63.8
吉林建筑科技学院,吉林,63.6
西安培华学院,陕西,63.6
烟台理工学院,山东,63.6
马鞍山学院,安徽,63.5
西安明德理工学院,陕西,63.5
郑州西亚斯学院,河南,63.1
阳光学院,福建,63.0
西安外事学院,陕西,62.7
烟台科技学院,山东,62.6
长春人文学院,吉林,62.4
晋中信息学院,山西,62.3
武汉晴川学院,湖北,62.1
安徽信息工程学院,安徽,61.5
汉口学院,湖北,61.5
武汉城市学院,湖北,61.4
武汉华夏理工学院,湖北,61.3
泰山科技学院,山东,60.9
